"","SpecID","date","away_team","away_team_game_number","home_team","home_team_game_number","away_score","home_score","away_AB","away_H","away_2B","away_3B","away_HR","away_RBI","away_SH","away_SF","away_HBP","away_BB","away_IBB","away_SO","away_SB","away_CS","away_GIDP","away_left_on_base","home_AB","home_H","home_2B","home_3B","home_HR","home_RBI","home_SH","home_SF","home_HBP","home_BB","home_IBB","home_SO","home_SB","home_CS","home_GIDP","home_left_on_base"
"1","1 2018",2018-03-29,"COL",1,"ARI",1,2,8,33,9,0,0,2,2,1,0,0,2,0,12,0,0,2,7,36,12,2,1,0,8,0,0,0,6,0,11,2,0,0,10
"2","2 2018",2018-03-29,"PHI",1,"ATL",1,5,8,31,6,2,0,1,5,0,0,1,6,0,11,1,0,2,6,34,9,1,0,3,7,1,0,1,4,1,6,0,0,0,6
"3","3 2018",2018-03-29,"SFN",1,"LAN",1,1,0,34,8,2,0,1,1,0,0,0,2,0,11,0,0,1,8,31,6,0,0,0,0,0,0,0,5,0,10,2,0,2,9
"4","4 2018",2018-03-29,"CHN",1,"MIA",1,8,4,35,9,4,0,3,8,0,0,3,5,2,10,1,0,1,9,33,8,2,1,0,4,0,0,1,6,0,7,0,0,2,9
"5","5 2018",2018-03-29,"SLN",1,"NYN",1,4,9,33,6,1,0,2,4,0,0,0,1,0,15,0,0,0,3,33,12,2,0,0,8,1,0,1,9,0,8,1,0,3,11
"6","6 2018",2018-03-29,"MIL",1,"SDN",1,2,1,42,10,2,0,0,2,0,0,1,2,0,9,1,1,3,7,39,6,0,0,0,1,0,0,0,6,1,15,1,1,2,8
"7","7 2018",2018-03-29,"MIN",1,"BAL",1,2,3,40,8,0,0,0,2,0,0,0,3,0,11,2,0,1,8,34,5,1,1,1,3,1,0,0,5,2,13,1,0,1,7
"8","8 2018",2018-03-29,"CHA",1,"KCA",1,14,7,39,14,3,0,6,14,0,0,1,7,0,7,0,0,1,6,36,9,3,0,1,6,0,0,1,2,0,2,0,0,0,5
"9","9 2018",2018-03-29,"ANA",1,"OAK",1,5,6,46,13,2,1,3,5,0,0,0,1,0,7,0,0,0,9,42,12,1,1,2,6,0,0,0,5,1,11,0,0,1,10
"10","10 2018",2018-03-29,"CLE",1,"SEA",1,1,2,30,5,1,0,0,1,0,0,2,2,0,8,2,0,2,7,28,6,1,0,1,2,0,0,0,1,0,8,0,0,2,3
"11","11 2018",2018-03-29,"BOS",1,"TBA",1,4,6,33,8,4,0,1,4,0,0,0,2,0,6,0,0,0,4,28,4,1,1,0,6,0,0,0,7,0,11,0,0,0,5
"12","12 2018",2018-03-29,"HOU",1,"TEX",1,4,1,30,6,2,0,2,4,0,1,0,6,0,13,0,0,2,6,31,6,1,0,0,0,0,0,1,2,0,9,0,0,1,6
"13","13 2018",2018-03-29,"NYA",1,"TOR",1,6,1,38,11,4,0,3,6,0,0,0,2,0,9,0,0,2,7,29,2,0,0,1,1,0,0,0,3,0,12,1,0,0,4
"14","14 2018",2018-03-30,"COL",2,"ARI",2,8,9,36,10,1,0,3,8,0,0,0,5,0,11,1,0,2,6,32,8,1,1,1,9,0,0,1,5,0,9,1,0,0,5
"15","15 2018",2018-03-30,"PHI",2,"ATL",2,5,4,40,10,2,0,2,5,0,2,0,5,0,10,3,0,1,10,37,9,2,0,0,4,1,1,2,5,0,9,0,1,1,9
"16","16 2018",2018-03-30,"WAS",1,"CIN",1,2,0,32,6,1,0,0,2,0,1,0,4,0,6,1,0,0,8,34,7,1,0,0,0,0,0,0,2,0,14,1,0,0,9
"17","17 2018",2018-03-30,"SFN",2,"LAN",2,1,0,31,2,0,0,1,1,1,0,0,0,0,5,0,0,0,4,27,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0
"18","18 2018",2018-03-30,"CHN",2,"MIA",2,1,2,58,8,2,0,1,1,0,0,1,8,1,20,0,0,1,15,61,12,0,0,0,2,0,0,1,8,0,14,0,1,1,18
"19","19 2018",2018-03-30,"MIL",2,"SDN",2,8,6,37,11,4,0,1,8,1,1,0,1,0,4,1,0,1,5,37,12,2,0,2,6,0,0,1,4,0,7,0,0,1,9
"20","20 2018",2018-03-30,"PIT",1,"DET",1,13,10,52,17,3,1,1,11,0,1,0,4,0,10,1,2,0,6,53,14,7,0,0,9,0,0,0,9,0,9,0,0,1,13
"21","21 2018",2018-03-30,"ANA",2,"OAK",2,2,1,32,6,0,0,1,1,0,0,0,0,0,7,0,0,1,3,33,7,1,0,0,1,0,0,2,1,0,8,0,0,0,8
"22","22 2018",2018-03-30,"BOS",2,"TBA",2,1,0,32,7,2,0,0,1,0,0,0,2,0,6,0,0,1,6,30,4,0,0,0,0,0,0,0,1,0,9,0,0,1,4
"23","23 2018",2018-03-30,"HOU",2,"TEX",2,1,5,31,5,2,0,0,1,0,0,0,5,0,6,0,0,3,8,31,10,3,0,1,5,0,2,0,2,0,6,0,0,2,6
"24","24 2018",2018-03-30,"NYA",2,"TOR",2,4,2,33,8,3,1,0,4,0,0,0,4,0,6,0,0,2,6,32,5,4,0,1,2,0,0,0,1,0,12,0,0,0,4
"25","25 2018",2018-03-31,"COL",3,"ARI",3,2,1,33,6,1,0,2,2,0,0,0,0,0,11,1,0,0,4,29,5,1,0,0,1,0,0,0,5,0,8,0,0,2,6
"26","26 2018",2018-03-31,"PHI",3,"ATL",3,2,15,31,6,3,0,0,2,1,0,0,4,0,9,0,1,0,7,43,19,5,1,1,14,2,1,0,5,1,5,0,0,0,12
"27","27 2018",2018-03-31,"WAS",2,"CIN",2,13,7,38,14,2,0,4,13,0,2,1,4,1,8,0,1,0,5,39,12,1,0,3,7,0,1,0,2,0,11,0,0,0,8
"28","28 2018",2018-03-31,"SFN",3,"LAN",3,0,5,34,9,1,0,0,0,0,0,0,3,0,11,1,0,2,10,26,4,1,1,0,3,0,2,0,3,0,5,0,0,2,2
"29","29 2018",2018-03-31,"CHN",3,"MIA",3,10,6,41,13,4,0,1,9,1,1,0,5,0,11,0,0,1,8,37,10,0,0,1,6,0,0,2,3,0,7,0,1,2,6
"30","30 2018",2018-03-31,"SLN",2,"NYN",2,2,6,34,7,0,0,1,2,0,0,0,3,0,12,0,0,0,8,33,11,3,0,2,6,0,1,1,5,1,5,0,0,0,10
