"","SpecID","date","away_team","away_team_game_number","home_team","home_team_game_number","away_score","home_score","away_AB","away_H","away_2B","away_3B","away_HR","away_RBI","away_SH","away_SF","away_HBP","away_BB","away_IBB","away_SO","away_SB","away_CS","away_GIDP","away_left_on_base","home_AB","home_H","home_2B","home_3B","home_HR","home_RBI","home_SH","home_SF","home_HBP","home_BB","home_IBB","home_SO","home_SB","home_CS","home_GIDP","home_left_on_base"
"1","1 2013",2013-03-31,"TEX",1,"HOU",1,2,8,32,6,0,0,0,2,0,0,0,3,0,7,0,1,0,6,32,9,0,2,1,7,0,0,0,3,0,13,0,0,0,3
"2","2 2013",2013-04-01,"KCA",1,"CHA",1,0,1,32,7,0,0,0,0,0,0,0,3,0,9,2,0,2,8,32,8,0,0,1,1,0,0,0,1,0,9,1,0,0,8
"3","3 2013",2013-04-01,"DET",1,"MIN",1,4,2,35,9,2,0,0,3,1,0,0,3,1,8,1,0,1,8,35,8,3,0,0,1,0,0,0,6,0,12,0,0,0,12
"4","4 2013",2013-04-01,"BOS",1,"NYA",1,8,2,40,13,1,1,0,8,0,0,0,8,1,8,0,0,0,13,33,6,1,0,0,2,0,0,0,4,0,10,0,0,1,8
"5","5 2013",2013-04-01,"SEA",1,"OAK",1,2,0,31,5,0,0,0,2,0,0,0,4,0,11,1,0,2,6,30,3,2,0,0,0,0,0,0,3,0,8,0,0,0,6
"6","6 2013",2013-04-01,"SLN",1,"ARI",1,2,6,30,5,3,0,0,2,0,0,0,1,0,10,0,0,1,2,36,15,7,0,0,5,0,1,0,1,1,8,0,1,1,8
"7","7 2013",2013-04-01,"PHI",1,"ATL",1,5,7,36,10,1,1,1,5,0,0,0,4,1,6,1,0,1,8,33,10,3,0,3,6,0,0,0,3,0,8,0,0,1,5
"8","8 2013",2013-04-01,"ANA",1,"CIN",1,3,1,45,6,0,1,1,3,1,0,1,7,2,17,0,0,0,12,42,3,1,0,0,0,2,0,1,5,2,13,0,0,0,10
"9","9 2013",2013-04-01,"SFN",1,"LAN",1,0,4,30,4,0,0,0,0,0,0,0,0,0,7,0,1,0,3,30,7,2,0,1,3,0,0,2,3,1,9,0,1,0,7
"10","10 2013",2013-04-01,"COL",1,"MIL",1,4,5,40,12,0,0,3,4,0,0,0,1,0,11,0,0,1,7,34,8,1,0,1,5,0,1,1,5,1,8,1,1,0,7
"11","11 2013",2013-04-01,"SDN",1,"NYN",1,2,11,31,4,1,0,1,2,1,0,1,2,0,6,0,0,0,6,38,13,2,0,1,11,0,0,0,5,0,10,2,0,0,8
"12","12 2013",2013-04-01,"CHN",1,"PIT",1,3,1,33,6,2,0,1,3,0,0,1,1,0,15,2,0,0,5,31,3,1,0,0,1,0,0,1,2,0,10,1,0,0,6
"13","13 2013",2013-04-01,"MIA",1,"WAS",1,0,2,29,3,1,0,0,0,0,0,0,1,0,6,0,0,0,3,26,5,0,0,2,2,2,0,0,2,0,5,0,0,1,4
