"","SpecID","date","away_team","away_team_game_number","home_team","home_team_game_number","away_score","home_score","away_AB","away_H","away_2B","away_3B","away_HR","away_RBI","away_SH","away_SF","away_HBP","away_BB","away_IBB","away_SO","away_SB","away_CS","away_GIDP","away_left_on_base","home_AB","home_H","home_2B","home_3B","home_HR","home_RBI","home_SH","home_SF","home_HBP","home_BB","home_IBB","home_SO","home_SB","home_CS","home_GIDP","home_left_on_base"
"1","1 2016",2016-04-03,"NYN",1,"KCA",1,3,4,33,7,1,0,0,3,0,0,0,6,0,9,0,1,0,9,30,9,0,0,0,4,0,1,0,2,0,3,1,0,3,5
"2","2 2016",2016-04-03,"TOR",1,"TBA",1,5,3,35,7,1,0,1,5,0,0,0,3,0,16,0,0,0,6,35,7,1,0,1,3,0,0,0,1,0,7,0,1,0,6
"3","3 2016",2016-04-03,"SLN",1,"PIT",1,1,4,32,5,0,0,0,1,0,0,1,5,0,14,0,0,1,10,28,9,2,1,0,4,1,1,1,5,0,5,0,1,1,8
"4","4 2016",2016-04-04,"CHN",1,"ANA",1,9,0,37,11,3,0,1,9,0,0,0,7,1,12,0,0,1,8,29,3,1,0,0,0,0,0,0,1,0,7,0,0,0,3
"5","5 2016",2016-04-04,"MIN",1,"BAL",1,2,3,33,7,3,0,0,2,0,1,1,0,0,10,0,0,0,6,36,10,3,0,0,3,0,0,0,5,0,10,1,0,0,12
"6","6 2016",2016-04-04,"CHA",1,"OAK",1,4,3,33,7,1,1,0,2,0,0,2,1,0,6,0,2,0,5,33,7,2,0,0,3,0,0,0,3,0,10,0,0,0,6
"7","7 2016",2016-04-04,"TOR",2,"TBA",2,5,3,33,7,1,0,3,5,0,1,0,2,0,9,0,0,0,4,35,8,1,0,1,2,0,0,0,4,0,9,1,0,0,9
"8","8 2016",2016-04-04,"SEA",1,"TEX",1,2,3,30,4,0,0,2,2,0,0,1,3,0,11,0,0,1,5,27,1,0,0,0,3,0,0,1,6,0,10,1,0,0,7
"9","9 2016",2016-04-04,"COL",1,"ARI",1,10,5,42,15,4,0,4,10,0,0,1,4,0,7,1,0,0,10,39,12,2,0,1,5,0,0,0,3,0,13,0,0,0,10
"10","10 2016",2016-04-04,"WAS",1,"ATL",1,4,3,37,8,1,0,2,4,0,1,0,5,0,11,1,1,1,9,32,4,0,0,2,3,0,0,1,5,0,11,0,0,1,5
"11","11 2016",2016-04-04,"PHI",1,"CIN",1,2,6,33,6,1,0,1,2,0,0,0,1,0,10,0,0,0,5,28,6,3,0,0,5,0,1,1,3,0,7,0,0,1,3
"12","12 2016",2016-04-04,"SFN",1,"MIL",1,12,3,40,15,3,0,4,12,0,1,0,5,0,3,1,0,1,7,32,8,0,0,2,3,0,0,0,5,0,10,0,0,1,7
"13","13 2016",2016-04-04,"LAN",1,"SDN",1,15,0,42,17,7,1,0,13,0,1,2,4,0,10,0,0,0,7,31,4,1,0,0,0,0,0,0,2,0,10,0,0,0,6
"14","14 2016",2016-04-05,"CHN",2,"ANA",2,6,1,36,9,1,0,3,6,0,0,0,0,0,9,0,0,0,3,32,4,1,0,0,1,0,0,0,0,0,6,0,0,0,4
"15","15 2016",2016-04-05,"BOS",1,"CLE",1,6,2,37,11,1,0,2,5,0,0,0,6,1,8,0,1,1,10,31,5,0,0,0,2,0,1,0,3,0,15,0,0,0,6
"16","16 2016",2016-04-05,"NYN",2,"KCA",2,2,0,33,6,0,0,1,2,0,0,0,5,0,9,2,0,0,9,31,3,1,1,0,0,0,0,0,1,0,12,1,0,0,5
"17","17 2016",2016-04-05,"HOU",1,"NYA",1,5,3,34,6,2,0,1,4,0,0,1,3,0,10,3,0,0,6,29,4,1,0,1,3,0,0,0,4,0,8,1,0,2,3
"18","18 2016",2016-04-05,"CHA",2,"OAK",2,5,4,38,11,0,0,2,5,0,0,0,2,0,7,0,0,1,8,37,10,3,0,0,4,0,0,2,0,0,10,0,0,0,8
"19","19 2016",2016-04-05,"TOR",3,"TBA",3,2,3,36,9,0,1,0,1,0,0,0,4,0,11,2,0,0,11,30,7,1,0,2,3,0,0,1,0,0,9,0,1,0,4
"20","20 2016",2016-04-05,"SEA",2,"TEX",2,10,2,36,11,3,0,4,10,0,0,2,4,0,4,0,0,2,5,33,7,2,0,0,2,0,0,1,5,0,11,1,1,1,10
"21","21 2016",2016-04-05,"COL",2,"ARI",2,6,11,35,9,2,0,3,6,0,0,0,1,0,2,0,0,1,3,38,15,3,2,2,11,0,1,1,4,0,8,0,0,0,9
"22","22 2016",2016-04-05,"DET",1,"MIA",1,8,7,41,12,2,0,3,8,1,1,0,4,0,6,0,1,1,6,41,10,4,1,1,7,0,2,0,3,1,10,0,0,0,6
"23","23 2016",2016-04-05,"SFN",2,"MIL",2,2,1,33,7,1,0,1,2,0,0,0,2,1,5,1,1,0,6,31,6,2,0,0,0,1,0,0,0,0,6,0,0,1,4
"24","24 2016",2016-04-05,"SLN",2,"PIT",2,5,6,38,8,2,1,1,4,2,0,2,3,0,13,0,0,2,7,41,12,1,1,0,6,0,1,0,2,0,12,0,0,1,7
"25","25 2016",2016-04-05,"LAN",2,"SDN",2,3,0,33,6,2,1,0,3,0,0,0,2,0,10,1,0,1,5,29,2,0,0,0,0,0,0,0,0,0,11,0,0,0,2
"26","26 2016",2016-04-06,"MIN",2,"BAL",2,2,4,30,5,3,0,1,2,1,1,0,6,0,13,0,0,0,9,31,9,3,0,1,4,0,1,0,6,1,6,0,0,1,10
"27","27 2016",2016-04-06,"BOS",2,"CLE",2,6,7,36,10,2,0,3,6,0,1,0,3,0,7,1,0,0,7,31,9,2,0,2,7,0,1,0,6,0,6,1,1,1,7
