"","SpecID","date","away_team","away_team_game_number","home_team","home_team_game_number","away_score","home_score","away_AB","away_H","away_2B","away_3B","away_HR","away_RBI","away_SH","away_SF","away_HBP","away_BB","away_IBB","away_SO","away_SB","away_CS","away_GIDP","away_left_on_base","home_AB","home_H","home_2B","home_3B","home_HR","home_RBI","home_SH","home_SF","home_HBP","home_BB","home_IBB","home_SO","home_SB","home_CS","home_GIDP","home_left_on_base"
"1","1 2017",2017-04-02,"SFN",1,"ARI",1,5,6,34,11,2,1,2,5,0,2,0,5,0,7,2,1,0,9,38,13,1,1,1,6,0,0,0,0,0,12,0,0,1,6
"2","2 2017",2017-04-02,"CHN",1,"SLN",1,3,4,34,8,1,0,1,3,0,0,2,0,0,12,0,0,1,6,35,11,2,0,1,4,0,1,0,8,1,8,2,0,1,14
"3","3 2017",2017-04-02,"NYA",1,"TBA",1,3,7,36,9,1,0,0,3,0,1,1,1,0,8,0,0,0,9,36,13,2,0,2,6,0,1,0,3,0,10,1,0,0,9
"4","4 2017",2017-04-03,"PHI",1,"CIN",1,4,3,35,10,4,1,2,4,0,0,0,5,1,8,0,1,2,9,32,9,1,1,1,3,1,1,1,2,0,6,0,0,2,7
"5","5 2017",2017-04-03,"SDN",1,"LAN",1,3,14,33,5,1,0,1,3,0,0,0,0,0,9,0,0,0,3,36,14,4,0,4,12,0,1,2,5,2,5,0,0,0,6
"6","6 2017",2017-04-03,"COL",1,"MIL",1,7,5,34,10,3,0,1,6,0,0,1,2,0,8,1,1,1,3,31,7,4,0,0,5,1,0,1,6,0,14,2,1,1,7
"7","7 2017",2017-04-03,"ATL",1,"NYN",1,0,6,33,7,1,1,0,0,0,0,0,0,0,11,0,0,0,6,30,7,1,0,0,6,0,1,0,8,0,6,2,0,0,9
"8","8 2017",2017-04-03,"MIA",1,"WAS",1,2,4,33,6,2,0,0,2,0,0,0,0,0,5,0,0,0,4,31,9,2,0,2,4,0,0,0,3,0,9,2,0,2,6
"9","9 2017",2017-04-03,"TOR",1,"BAL",1,2,3,42,11,1,0,0,2,0,0,0,6,0,8,0,0,2,13,39,9,4,0,1,3,0,0,0,2,0,5,0,0,0,6
"10","10 2017",2017-04-03,"PIT",1,"BOS",1,3,5,34,8,2,0,0,3,0,1,1,2,0,8,0,1,0,8,33,10,0,1,1,5,0,0,0,2,0,7,2,0,1,6
"11","11 2017",2017-04-03,"SEA",1,"HOU",1,0,3,29,3,0,0,0,0,0,0,1,4,0,8,0,0,1,7,27,6,0,0,2,3,0,1,0,1,0,6,1,0,1,3
"12","12 2017",2017-04-03,"KCA",1,"MIN",1,1,7,28,3,0,0,1,1,0,0,0,2,0,4,1,0,2,2,31,8,0,0,1,7,1,0,0,7,1,11,0,0,0,8
"13","13 2017",2017-04-03,"ANA",1,"OAK",1,2,4,32,7,1,0,1,2,0,0,0,4,1,11,0,0,2,7,32,9,0,0,3,4,0,0,0,5,1,6,0,0,1,9
"14","14 2017",2017-04-03,"CLE",1,"TEX",1,8,5,34,9,3,0,2,7,0,1,0,5,0,4,1,0,2,5,34,8,2,1,3,5,0,0,0,3,0,12,1,1,0,5
"15","15 2017",2017-04-04,"SFN",2,"ARI",2,8,4,43,15,5,0,1,8,0,1,0,4,0,12,0,0,0,13,34,7,0,0,2,4,0,0,0,4,0,11,1,0,0,7
"16","16 2017",2017-04-04,"SDN",2,"LAN",2,4,0,33,11,2,0,1,4,1,1,0,2,0,9,1,0,2,6,28,5,0,0,0,0,0,0,0,2,0,5,0,0,4,3
"17","17 2017",2017-04-04,"COL",2,"MIL",2,6,5,34,12,4,0,0,6,1,0,0,8,1,4,1,0,2,10,34,9,3,0,1,5,0,0,0,2,0,14,0,0,1,4
"18","18 2017",2017-04-04,"CHN",2,"SLN",2,2,1,31,5,1,0,0,2,2,0,1,4,1,8,0,0,0,9,31,4,0,0,0,0,0,0,1,3,0,8,0,0,0,7
"19","19 2017",2017-04-04,"DET",1,"CHA",1,6,3,32,6,1,0,3,6,0,0,1,6,0,5,1,0,0,6,34,8,3,0,0,3,0,0,1,2,0,11,0,0,0,7
"20","20 2017",2017-04-04,"SEA",2,"HOU",2,1,2,36,7,3,0,0,1,0,0,0,2,1,11,0,0,0,10,26,5,0,0,2,2,0,0,0,3,0,3,0,2,2,3
"21","21 2017",2017-04-04,"ANA",2,"OAK",2,7,6,34,9,0,1,1,7,0,0,1,2,0,7,0,0,2,3,34,9,2,1,2,5,0,0,0,3,0,9,0,1,0,4
"22","22 2017",2017-04-04,"NYA",2,"TBA",2,5,0,36,9,4,0,2,5,0,0,0,3,0,5,1,0,0,7,32,5,0,0,0,0,0,0,0,3,0,8,0,0,0,8
"23","23 2017",2017-04-04,"CLE",2,"TEX",2,4,3,32,8,0,0,1,4,0,0,0,5,0,9,0,1,1,6,32,7,2,0,1,3,0,0,1,1,0,10,0,0,1,4
"24","24 2017",2017-04-05,"SFN",3,"ARI",3,6,8,36,10,0,2,1,5,0,1,0,2,0,11,1,0,0,6,36,12,7,0,0,6,0,0,0,4,0,7,3,2,0,8
"25","25 2017",2017-04-05,"PHI",2,"CIN",2,0,2,31,4,0,0,0,0,0,0,0,1,0,13,1,0,0,5,28,5,2,0,1,2,0,0,0,1,0,8,1,0,1,3
"26","26 2017",2017-04-05,"SDN",3,"LAN",3,1,3,27,3,1,0,1,1,1,0,0,4,0,7,0,1,1,4,30,6,3,0,1,2,0,0,1,3,0,12,1,0,1,7
"27","27 2017",2017-04-05,"COL",3,"MIL",3,1,6,29,5,2,0,0,1,1,0,1,6,0,9,0,1,1,9,30,10,1,1,3,6,0,0,0,1,0,7,0,1,1,1
"28","28 2017",2017-04-05,"ATL",2,"NYN",2,3,1,43,8,4,1,0,3,0,0,1,6,2,12,0,0,2,11,40,5,1,0,1,1,0,0,0,3,1,12,0,0,1,6
"29","29 2017",2017-04-05,"MIA",2,"WAS",2,4,6,33,9,1,0,1,4,1,0,3,2,0,10,0,0,1,8,31,11,3,0,1,6,1,0,0,4,0,5,0,1,1,6
"30","30 2017",2017-04-05,"TOR",2,"BAL",2,1,3,33,7,1,0,0,1,0,0,0,1,0,11,0,0,1,6,29,5,0,0,2,3,0,0,0,0,0,9,0,0,0,2
"31","31 2017",2017-04-05,"PIT",2,"BOS",2,0,3,41,5,0,0,0,0,0,0,0,1,0,9,0,0,1,6,39,8,1,0,1,3,0,0,0,6,0,10,1,0,2,8
"32","32 2017",2017-04-05,"SEA",3,"HOU",3,3,5,45,6,2,0,1,3,0,0,0,8,0,14,3,0,0,11,51,13,4,0,1,5,1,0,0,3,0,9,0,0,2,12
"33","33 2017",2017-04-05,"KCA",2,"MIN",2,1,9,29,4,0,0,0,1,0,0,1,3,0,9,0,1,1,5,31,8,0,1,1,9,0,0,0,9,0,7,2,0,0,7
"34","34 2017",2017-04-05,"ANA",3,"OAK",3,5,0,37,13,3,0,0,5,0,0,1,2,0,5,0,1,1,8,33,6,1,0,0,0,0,0,0,1,0,7,0,0,0,7
"35","35 2017",2017-04-05,"NYA",3,"TBA",3,1,4,33,8,1,0,1,1,0,0,0,2,0,6,0,0,2,7,31,8,0,0,1,4,0,0,0,2,0,10,2,1,0,5
"36","36 2017",2017-04-05,"CLE",3,"TEX",3,9,6,34,9,0,0,2,9,0,1,1,4,0,7,1,0,0,4,31,7,0,0,2,4,1,0,0,5,0,12,0,1,1,4
"37","37 2017",2017-04-06,"SFN",4,"ARI",4,3,9,31,4,2,0,1,3,0,0,0,5,0,7,1,0,0,6,34,11,2,0,3,9,0,0,0,5,0,10,0,0,1,6
"38","38 2017",2017-04-06,"PHI",3,"CIN",3,4,7,30,6,1,0,2,3,0,0,0,6,0,12,0,0,2,5,34,13,2,0,2,7,0,2,0,2,0,6,1,0,1,7
"39","39 2017",2017-04-06,"SDN",4,"LAN",4,2,10,33,6,2,0,1,2,0,0,0,2,0,8,1,0,0,6,32,8,2,0,2,8,0,0,1,11,0,5,3,0,0,10
"40","40 2017",2017-04-06,"COL",4,"MIL",4,2,1,30,5,2,0,2,2,2,0,0,2,0,7,0,0,0,5,30,5,1,0,1,1,0,0,1,5,0,10,0,0,2,8
"41","41 2017",2017-04-06,"ATL",3,"NYN",3,2,6,32,6,0,0,2,2,0,0,0,0,0,8,0,0,1,3,31,8,3,0,1,5,0,0,1,2,0,2,0,0,1,4
"42","42 2017",2017-04-06,"CHN",3,"SLN",3,6,4,38,10,1,0,1,6,0,0,1,3,0,7,0,0,0,9,34,7,2,0,0,4,0,1,0,3,0,11,0,0,1,7
"43","43 2017",2017-04-06,"MIA",3,"WAS",3,4,3,40,14,1,0,1,4,0,0,0,4,1,9,1,0,4,10,36,8,1,0,3,3,0,0,0,6,3,7,1,0,1,9
"44","44 2017",2017-04-06,"DET",2,"CHA",2,2,11,30,4,2,0,1,2,0,0,0,6,0,9,1,0,2,7,34,10,1,1,3,11,1,0,1,6,0,9,0,1,0,7
"45","45 2017",2017-04-06,"SEA",4,"HOU",4,4,2,33,7,0,0,1,4,0,0,1,4,0,8,1,0,1,7,32,6,0,0,2,2,0,0,1,3,1,10,0,0,1,7
"46","46 2017",2017-04-06,"KCA",3,"MIN",3,3,5,35,9,1,0,2,2,0,0,0,4,1,10,1,0,1,9,33,9,3,0,0,5,0,0,0,7,1,7,2,0,0,11
"47","47 2017",2017-04-06,"ANA",4,"OAK",4,1,5,32,5,0,0,0,1,0,0,0,3,0,7,0,0,0,7,28,5,1,0,1,4,0,1,0,4,0,11,1,0,0,4
"48","48 2017",2017-04-06,"TOR",3,"TBA",4,5,2,32,5,0,0,1,4,0,0,0,5,0,8,0,0,1,5,31,8,3,0,0,1,0,0,0,3,0,7,0,0,4,5
"49","49 2017",2017-04-07,"CLE",4,"ARI",5,3,7,34,6,2,0,1,3,0,0,0,4,0,8,1,0,0,8,34,11,3,1,0,7,0,0,1,4,0,8,0,0,1,8
"50","50 2017",2017-04-07,"LAN",5,"COL",5,1,2,30,5,2,0,0,1,1,0,0,3,0,11,0,0,1,6,30,6,1,0,1,2,0,0,0,1,0,11,0,1,0,5
"51","51 2017",2017-04-07,"CHN",4,"MIL",5,1,2,36,6,0,0,1,1,0,0,1,6,0,12,1,1,3,9,38,7,1,0,0,1,0,0,1,3,0,10,0,0,0,9
"52","52 2017",2017-04-07,"MIA",4,"NYN",4,7,2,37,11,0,1,1,7,0,0,0,6,0,8,1,0,1,9,35,9,2,0,1,2,0,0,0,2,0,8,0,0,1,8
"53","53 2017",2017-04-07,"WAS",4,"PHI",4,7,6,35,11,2,0,3,7,0,0,0,6,0,17,1,0,3,7,35,9,3,0,2,6,0,0,0,4,0,9,0,0,0,6
"54","54 2017",2017-04-07,"ATL",4,"PIT",3,4,5,36,10,3,0,0,4,0,0,2,0,0,6,0,0,2,7,35,11,1,0,2,5,2,0,1,4,0,2,0,0,0,13
"55","55 2017",2017-04-07,"SFN",5,"SDN",5,6,7,33,8,2,0,2,5,0,0,0,2,0,8,0,0,2,2,31,8,2,0,2,7,2,0,0,7,0,5,1,0,1,9
"56","56 2017",2017-04-07,"CIN",4,"SLN",4,2,0,32,7,2,0,1,2,0,0,0,3,0,7,2,1,0,6,28,2,0,0,0,0,0,0,0,3,0,8,0,1,0,4
"57","57 2017",2017-04-07,"SEA",5,"ANA",5,1,5,33,5,0,0,0,1,0,0,1,1,0,10,1,0,0,7,33,11,1,0,2,5,0,1,0,2,1,8,1,0,1,7
"58","58 2017",2017-04-07,"NYA",4,"BAL",3,5,6,35,10,1,0,2,5,0,0,0,4,0,10,2,1,1,7,31,7,1,0,2,6,1,0,0,1,0,9,0,0,0,3
"59","59 2017",2017-04-07,"MIN",4,"CHA",3,3,1,33,6,3,0,0,2,0,0,1,2,0,9,0,0,2,6,34,7,1,0,0,1,0,0,0,2,0,8,1,0,0,8
"60","60 2017",2017-04-07,"BOS",3,"DET",3,5,6,37,10,3,0,1,5,0,0,1,3,0,6,1,0,1,9,27,8,1,1,1,6,0,1,1,7,1,7,0,1,3,6
"61","61 2017",2017-04-07,"KCA",4,"HOU",5,5,1,35,10,2,0,1,4,0,0,0,6,0,5,3,0,2,10,30,6,1,0,0,1,0,0,0,3,0,8,0,0,3,5
"62","62 2017",2017-04-07,"TOR",4,"TBA",5,8,10,38,11,4,0,2,8,0,1,0,5,0,7,0,0,0,9,35,13,4,0,1,10,0,1,0,7,0,14,2,0,1,9
