"","SpecID","date","away_team","away_team_game_number","home_team","home_team_game_number","away_score","home_score","away_AB","away_H","away_2B","away_3B","away_HR","away_RBI","away_SH","away_SF","away_HBP","away_BB","away_IBB","away_SO","away_SB","away_CS","away_GIDP","away_left_on_base","home_AB","home_H","home_2B","home_3B","home_HR","home_RBI","home_SH","home_SF","home_HBP","home_BB","home_IBB","home_SO","home_SB","home_CS","home_GIDP","home_left_on_base"
"1","1 2014",2014-03-22,"LAN",1,"ARI",1,3,1,33,5,2,0,1,3,0,0,1,3,0,11,0,0,0,7,33,5,1,0,0,1,0,0,0,2,0,10,0,0,0,7
"2","2 2014",2014-03-23,"LAN",2,"ARI",2,7,5,34,13,3,0,0,6,1,2,2,8,0,7,1,0,1,13,35,8,0,0,1,5,0,0,0,8,0,8,0,0,2,11
"3","3 2014",2014-03-30,"LAN",3,"SDN",1,1,3,31,4,0,0,0,1,0,0,0,3,0,9,0,0,0,6,27,5,0,0,1,3,2,0,0,4,0,10,1,0,2,6
"4","4 2014",2014-03-31,"SEA",1,"ANA",1,10,3,36,11,4,2,1,10,0,1,0,8,1,11,1,1,0,8,34,6,1,0,1,3,0,0,1,1,0,13,1,0,0,6
"5","5 2014",2014-03-31,"BOS",1,"BAL",1,1,2,36,9,2,0,1,1,0,0,1,3,0,6,0,0,0,12,28,6,0,0,1,1,0,0,0,1,0,9,0,0,2,3
"6","6 2014",2014-03-31,"MIN",1,"CHA",1,3,5,32,7,3,0,0,3,1,0,0,1,0,10,0,0,1,4,31,11,2,0,2,5,0,1,0,2,0,6,0,0,2,5
"7","7 2014",2014-03-31,"KCA",1,"DET",1,3,4,35,7,3,0,0,3,0,0,0,3,0,2,0,0,1,8,32,8,1,2,1,3,0,0,0,3,0,4,0,0,0,6
"8","8 2014",2014-03-31,"CLE",1,"OAK",1,2,0,33,8,2,0,0,2,1,1,1,4,0,12,0,0,0,11,31,5,1,0,0,0,1,0,0,4,0,7,0,0,0,9
"9","9 2014",2014-03-31,"TOR",1,"TBA",1,2,9,33,7,0,0,1,2,0,0,0,1,0,9,0,0,1,5,32,11,3,0,0,7,0,2,2,8,0,6,1,0,0,11
"10","10 2014",2014-03-31,"PHI",1,"TEX",1,14,10,44,17,3,0,3,13,0,0,0,6,0,8,3,0,0,9,40,14,3,0,1,9,0,0,0,4,0,4,0,0,1,7
"11","11 2014",2014-03-31,"SFN",1,"ARI",3,9,8,38,12,3,0,2,9,1,0,0,2,0,6,0,0,0,5,42,16,3,0,1,8,1,0,0,3,0,9,1,1,1,11
"12","12 2014",2014-03-31,"SLN",1,"CIN",1,1,0,32,5,1,0,1,1,0,0,0,2,0,9,0,0,0,6,31,3,0,0,0,0,0,0,0,5,1,12,1,0,1,9
