"","SpecID","date","away_team","away_team_game_number","home_team","home_team_game_number","away_score","home_score","away_AB","away_H","away_2B","away_3B","away_HR","away_RBI","away_SH","away_SF","away_HBP","away_BB","away_IBB","away_SO","away_SB","away_CS","away_GIDP","away_left_on_base","home_AB","home_H","home_2B","home_3B","home_HR","home_RBI","home_SH","home_SF","home_HBP","home_BB","home_IBB","home_SO","home_SB","home_CS","home_GIDP","home_left_on_base"
"1","1 2012",2012-03-28,"SEA",1,"OAK",1,3,1,39,9,1,0,1,3,1,0,0,0,0,4,2,1,1,4,39,6,3,0,0,1,0,0,2,0,0,10,2,1,0,7
"2","2 2012",2012-03-29,"SEA",2,"OAK",2,1,4,30,3,0,0,1,1,0,0,0,1,0,7,0,0,0,3,30,7,1,0,3,4,0,0,0,2,0,5,0,1,0,4
"3","3 2012",2012-04-04,"SLN",1,"MIA",1,4,1,37,13,3,0,0,4,1,0,0,3,2,5,1,1,0,10,30,4,1,0,0,1,0,0,1,0,0,6,0,0,1,3
"4","4 2012",2012-04-05,"TOR",1,"CLE",1,7,4,56,10,3,0,2,7,0,1,1,7,1,16,0,0,3,10,49,7,2,0,1,4,1,0,1,11,0,12,0,1,3,10
"5","5 2012",2012-04-05,"BOS",1,"DET",1,2,3,32,5,2,1,0,2,0,1,0,1,0,8,1,0,0,5,31,10,2,1,0,3,0,1,1,4,1,4,0,0,3,9
"6","6 2012",2012-04-05,"WAS",1,"CHN",1,2,1,32,4,1,0,0,2,0,0,0,6,0,10,1,0,0,9,33,6,0,1,0,1,0,0,0,1,0,7,0,1,1,6
"7","7 2012",2012-04-05,"MIA",2,"CIN",1,0,4,29,3,1,0,0,0,0,0,0,2,0,8,0,1,0,4,30,10,4,0,1,4,1,1,1,4,2,5,0,0,1,9
"8","8 2012",2012-04-05,"ATL",1,"NYN",1,0,1,31,4,1,1,0,0,0,0,0,3,0,8,0,0,0,7,29,7,1,0,0,1,0,0,0,4,0,6,0,0,2,8
"9","9 2012",2012-04-05,"PHI",1,"PIT",1,1,0,32,8,1,0,0,1,0,1,0,2,0,8,1,0,2,7,28,2,0,0,0,0,0,0,2,0,0,6,0,0,1,3
"10","10 2012",2012-04-05,"LAN",1,"SDN",1,5,3,33,7,2,0,1,5,0,0,1,5,0,10,0,1,0,7,31,5,1,0,1,3,0,0,0,3,0,7,1,0,1,4
"11","11 2012",2012-04-06,"KCA",1,"ANA",1,0,5,31,4,1,0,0,0,0,0,0,0,0,11,0,0,0,4,31,9,1,1,0,5,0,0,0,1,1,8,0,1,1,3
"12","12 2012",2012-04-06,"MIN",1,"BAL",1,2,4,32,6,0,0,1,2,0,0,0,4,0,6,0,0,1,7,28,6,1,1,1,4,0,0,0,3,0,3,0,0,1,3
"13","13 2012",2012-04-06,"SEA",3,"OAK",3,7,3,36,13,2,0,0,6,1,2,0,4,0,6,2,0,2,9,36,9,0,0,1,3,0,0,0,1,0,7,0,0,1,7
"14","14 2012",2012-04-06,"NYA",1,"TBA",1,6,7,37,9,1,0,1,5,0,0,1,7,0,6,0,0,1,12,34,12,0,1,2,7,1,0,0,7,3,12,0,0,1,10
"15","15 2012",2012-04-06,"CHA",1,"TEX",1,2,3,34,8,1,0,1,2,0,0,1,1,0,13,0,1,0,7,30,6,1,0,1,3,1,1,0,0,0,7,0,0,0,5
"16","16 2012",2012-04-06,"SFN",1,"ARI",1,4,5,37,11,3,0,1,4,1,0,0,2,0,6,0,0,0,9,32,7,2,0,2,5,1,0,1,2,0,9,0,0,0,7
"17","17 2012",2012-04-06,"COL",1,"HOU",1,5,3,36,8,2,0,1,4,1,1,0,3,0,3,3,0,0,9,31,5,2,0,2,3,0,0,0,4,0,4,0,0,1,5
"18","18 2012",2012-04-06,"SLN",2,"MIL",1,11,5,40,16,4,0,4,11,1,0,0,7,0,6,2,0,0,10,36,10,1,1,1,5,0,0,1,2,0,6,0,0,2,7
"19","19 2012",2012-04-06,"LAN",2,"SDN",2,6,0,34,10,2,1,0,6,1,0,0,3,0,9,1,1,1,5,29,3,2,0,0,0,0,0,0,1,0,11,0,0,1,3
"20","20 2012",2012-04-07,"KCA",2,"ANA",2,6,3,35,12,3,0,2,5,1,1,0,2,0,9,1,0,1,6,31,9,3,0,0,3,0,1,0,2,0,6,0,0,2,4
