"","SpecID","date","away_team","away_team_game_number","home_team","home_team_game_number","away_score","home_score","away_AB","away_H","away_2B","away_3B","away_HR","away_RBI","away_SH","away_SF","away_HBP","away_BB","away_IBB","away_SO","away_SB","away_CS","away_GIDP","away_left_on_base","home_AB","home_H","home_2B","home_3B","home_HR","home_RBI","home_SH","home_SF","home_HBP","home_BB","home_IBB","home_SO","home_SB","home_CS","home_GIDP","home_left_on_base"
"1","1 2015",2015-04-05,"SLN",1,"CHN",1,3,0,36,10,3,0,0,3,0,0,0,4,1,11,4,1,0,10,32,5,3,0,0,0,0,0,0,2,0,12,1,0,0,7
"2","2 2015",2015-04-06,"MIN",1,"DET",1,0,4,31,5,0,0,0,0,0,0,0,0,0,6,0,0,1,4,31,10,1,1,2,4,0,1,0,2,0,6,3,0,2,6
"3","3 2015",2015-04-06,"CLE",1,"HOU",1,0,2,29,3,0,0,0,0,0,0,0,3,0,7,0,0,1,5,25,3,0,0,0,2,0,1,0,2,0,7,1,0,0,2
"4","4 2015",2015-04-06,"CHA",1,"KCA",1,1,10,28,5,1,0,1,1,0,0,1,2,0,3,0,0,3,3,34,13,3,0,2,9,1,0,2,5,1,3,2,0,1,8
"5","5 2015",2015-04-06,"TOR",1,"NYA",1,6,1,33,6,0,0,2,5,1,0,0,5,0,12,2,0,0,6,29,3,0,0,1,1,0,0,1,3,0,5,0,1,0,5
"6","6 2015",2015-04-06,"TEX",1,"OAK",1,0,8,28,1,0,0,0,0,0,0,1,1,0,5,0,0,0,3,37,11,3,1,2,7,0,0,0,4,0,9,0,0,0,9
"7","7 2015",2015-04-06,"ANA",1,"SEA",1,1,4,29,4,0,0,1,1,0,0,1,2,0,12,0,0,2,4,32,10,3,1,1,4,0,0,0,1,0,3,0,0,1,5
"8","8 2015",2015-04-06,"BAL",1,"TBA",1,6,2,34,8,2,0,3,6,0,0,1,2,0,11,0,0,0,4,32,8,2,0,1,2,0,0,0,3,0,8,0,0,1,6
"9","9 2015",2015-04-06,"SFN",1,"ARI",1,5,4,37,13,3,0,0,4,0,1,0,2,0,7,0,0,1,8,34,9,1,1,0,4,0,0,2,3,0,6,0,0,2,8
"10","10 2015",2015-04-06,"PIT",1,"CIN",1,2,5,34,7,1,0,1,2,0,0,0,1,0,13,0,0,0,6,29,5,0,0,2,4,0,0,0,3,0,8,1,0,0,3
"11","11 2015",2015-04-06,"SDN",1,"LAN",1,3,6,31,7,4,0,0,3,0,0,2,2,0,12,1,0,2,5,33,9,4,1,2,6,0,0,1,5,2,10,2,1,0,9
"12","12 2015",2015-04-06,"ATL",1,"MIA",1,2,1,33,6,1,0,0,2,1,0,0,1,0,7,1,0,0,6,31,8,1,0,0,1,0,0,0,1,0,7,0,1,2,4
"13","13 2015",2015-04-06,"COL",1,"MIL",1,10,0,42,16,6,0,2,10,1,0,0,1,0,6,0,0,1,7,33,8,0,0,0,0,0,0,1,0,0,9,0,0,2,7
"14","14 2015",2015-04-06,"BOS",1,"PHI",1,8,0,35,9,0,0,5,8,0,0,0,7,0,9,1,0,1,7,31,3,1,0,0,0,0,0,0,2,0,9,0,0,0,6
"15","15 2015",2015-04-06,"NYN",1,"WAS",1,3,1,34,5,0,1,0,3,0,0,0,3,0,9,0,0,0,7,31,3,0,0,1,1,0,0,0,1,0,10,0,0,0,4
"16","16 2015",2015-04-07,"TEX",2,"OAK",2,3,1,34,8,1,0,0,2,0,0,3,0,0,6,0,0,1,7,30,5,0,1,0,1,0,0,0,3,0,7,0,0,3,5
"17","17 2015",2015-04-07,"ANA",2,"SEA",2,2,0,32,5,2,0,1,2,0,0,0,1,0,8,0,0,1,4,29,2,0,0,0,0,0,0,0,1,0,4,0,0,0,3
"18","18 2015",2015-04-07,"BAL",2,"TBA",2,6,5,29,6,1,0,1,6,0,1,1,6,0,5,0,0,3,4,32,5,0,1,2,5,0,0,1,4,0,11,2,0,0,5
"19","19 2015",2015-04-07,"SFN",2,"ARI",2,6,7,35,10,4,0,2,6,0,1,0,3,1,8,0,0,0,6,31,8,1,1,2,7,0,0,0,5,0,7,1,0,1,5
"20","20 2015",2015-04-07,"SDN",2,"LAN",2,7,3,40,11,1,1,0,6,1,0,0,2,1,7,2,0,0,9,32,7,4,0,1,3,0,0,0,4,0,9,1,1,0,6
"21","21 2015",2015-04-07,"ATL",2,"MIA",2,12,2,37,14,4,0,0,12,2,0,0,7,1,5,1,0,2,7,30,5,0,1,0,2,0,0,0,5,0,10,0,0,2,6
"22","22 2015",2015-04-07,"COL",2,"MIL",2,5,2,38,12,6,0,0,5,0,1,0,2,0,6,1,0,0,9,31,6,3,0,0,1,0,0,1,1,0,7,0,0,1,4
"23","23 2015",2015-04-08,"MIN",2,"DET",2,0,11,31,4,1,0,0,0,0,0,0,2,0,9,0,0,0,6,38,15,5,1,0,10,0,1,0,7,2,2,0,0,0,11
"24","24 2015",2015-04-08,"CLE",2,"HOU",2,2,0,33,7,0,0,2,2,1,0,0,0,0,8,0,0,0,5,30,4,1,0,0,0,0,0,0,3,0,13,1,0,1,6
"25","25 2015",2015-04-08,"CHA",2,"KCA",2,5,7,34,10,3,0,1,5,0,1,0,0,0,10,0,1,0,3,37,14,1,0,2,7,0,0,2,2,0,5,2,0,1,10
"26","26 2015",2015-04-08,"TOR",2,"NYA",2,3,4,33,7,1,0,0,2,0,1,0,3,0,7,0,0,0,7,28,7,2,0,0,3,0,1,2,4,1,7,1,0,1,7
"27","27 2015",2015-04-08,"TEX",3,"OAK",3,0,10,30,3,1,0,0,0,1,0,0,2,0,13,0,0,0,6,39,15,3,1,0,9,0,0,1,3,0,4,0,0,0,9
"28","28 2015",2015-04-08,"ANA",3,"SEA",3,5,3,34,10,2,0,1,4,1,1,1,2,1,7,0,1,0,7,35,9,2,0,2,3,0,0,1,1,1,9,0,1,0,7
"29","29 2015",2015-04-08,"BAL",3,"TBA",3,0,2,29,3,1,0,0,0,0,0,1,1,0,13,0,0,1,4,25,5,1,0,0,2,0,0,0,8,0,7,0,1,2,7
"30","30 2015",2015-04-08,"SFN",3,"ARI",3,5,2,40,14,4,0,1,5,2,0,0,2,0,4,0,0,0,12,32,5,2,0,0,1,0,0,1,2,0,7,0,0,0,6
"31","31 2015",2015-04-08,"SLN",2,"CHN",2,0,2,31,4,1,0,0,0,0,0,0,3,0,8,0,0,0,7,24,2,0,1,0,2,1,1,1,1,0,11,0,0,0,2
"32","32 2015",2015-04-08,"PIT",2,"CIN",2,4,5,39,8,3,0,0,4,1,1,0,7,2,9,1,0,0,11,42,11,1,0,1,4,1,0,1,3,0,14,4,0,1,10
"33","33 2015",2015-04-08,"SDN",3,"LAN",3,4,7,38,11,3,0,2,4,0,0,0,1,0,13,0,0,0,8,35,12,1,1,3,7,0,0,0,3,0,9,0,1,0,7
"34","34 2015",2015-04-08,"ATL",3,"MIA",3,2,0,29,6,0,0,1,2,0,0,1,3,0,6,0,0,2,4,33,6,0,0,0,0,0,0,0,2,1,8,1,0,0,8
"35","35 2015",2015-04-08,"COL",3,"MIL",3,5,4,38,10,4,0,3,5,0,0,0,0,0,7,0,2,0,3,36,8,1,0,1,4,0,0,0,5,0,8,1,0,2,7
"36","36 2015",2015-04-08,"BOS",2,"PHI",2,2,4,30,3,0,0,0,2,0,0,0,4,0,10,0,0,0,6,31,6,0,0,1,4,0,1,0,2,0,7,1,0,0,6
"37","37 2015",2015-04-08,"NYN",2,"WAS",2,1,2,32,6,0,0,0,1,0,0,0,1,0,6,1,0,0,5,31,7,3,0,1,2,0,0,0,3,2,8,0,0,0,8
"38","38 2015",2015-04-09,"MIN",3,"DET",3,1,7,31,5,1,0,0,0,0,0,0,1,0,5,0,0,1,4,33,10,1,1,1,6,0,0,0,6,0,3,1,0,1,8
"39","39 2015",2015-04-09,"CLE",3,"HOU",3,5,1,36,11,3,1,2,5,0,1,0,3,0,7,2,0,2,8,28,1,0,0,1,1,0,0,0,7,0,16,2,0,0,7
"40","40 2015",2015-04-09,"CHA",3,"KCA",3,1,4,30,4,2,0,0,1,0,0,1,1,0,7,0,0,0,4,31,8,3,1,1,4,2,0,0,2,0,2,2,0,0,7
"41","41 2015",2015-04-09,"TOR",3,"NYA",3,6,3,35,9,0,0,1,5,0,0,0,0,0,10,0,0,1,2,32,7,3,0,2,3,0,0,1,4,0,10,0,1,0,7
"42","42 2015",2015-04-09,"TEX",4,"OAK",4,10,1,38,12,1,0,4,9,0,1,2,2,0,5,0,0,1,6,31,6,1,0,0,1,0,0,0,3,0,6,0,0,2,6
"43","43 2015",2015-04-09,"PIT",3,"CIN",3,2,3,31,6,1,0,1,2,1,0,1,2,0,11,1,0,1,6,31,6,1,0,1,2,0,0,0,2,1,9,2,0,1,5
"44","44 2015",2015-04-09,"BOS",3,"PHI",3,6,2,39,11,0,1,0,6,0,0,0,6,0,7,0,0,1,12,32,5,0,0,0,1,0,0,0,3,0,10,0,0,0,6
"45","45 2015",2015-04-09,"SFN",4,"SDN",4,1,0,39,6,0,1,0,1,1,0,0,5,1,5,0,1,2,8,41,7,1,0,0,0,0,0,0,5,1,7,0,0,4,10
"46","46 2015",2015-04-09,"NYN",3,"WAS",3,6,3,36,10,0,0,0,6,0,0,1,3,0,9,0,0,2,7,34,7,3,0,0,3,0,0,0,3,0,12,0,1,0,7
"47","47 2015",2015-04-10,"KCA",4,"ANA",4,4,2,35,9,1,0,1,4,1,0,3,2,0,6,0,0,0,10,33,7,2,0,1,2,0,0,0,2,0,9,0,0,1,6
"48","48 2015",2015-04-10,"TOR",4,"BAL",4,12,5,39,16,8,0,0,12,0,4,1,3,0,6,0,0,0,8,36,13,3,0,2,4,0,0,0,2,0,2,0,0,3,6
"49","49 2015",2015-04-10,"MIN",4,"CHA",4,6,0,36,10,1,0,1,5,0,0,1,9,3,9,1,0,0,13,28,3,2,0,0,0,0,0,0,2,0,7,0,1,0,3
"50","50 2015",2015-04-10,"DET",4,"CLE",4,8,4,43,18,1,1,1,7,1,0,0,3,0,9,1,1,1,12,34,10,2,0,0,4,0,0,0,3,0,7,0,1,2,6
"51","51 2015",2015-04-10,"BOS",4,"NYA",4,6,5,71,18,1,0,1,6,1,1,2,8,0,15,1,0,2,20,67,14,4,0,2,5,0,1,1,6,1,13,0,1,1,13
"52","52 2015",2015-04-10,"SEA",4,"OAK",5,0,12,29,3,0,0,0,0,0,0,0,2,0,7,0,0,1,4,40,16,5,0,1,12,0,0,0,4,2,6,0,0,0,8
"53","53 2015",2015-04-10,"HOU",4,"TEX",5,5,1,34,10,2,0,2,5,1,0,0,2,0,7,1,0,0,5,32,6,3,0,0,1,0,0,0,2,0,8,0,1,0,6
"54","54 2015",2015-04-10,"LAN",4,"ARI",4,3,4,35,8,1,0,1,3,1,0,0,3,1,8,0,0,2,6,35,7,0,0,1,4,0,0,0,3,0,10,1,0,0,6
"55","55 2015",2015-04-10,"NYN",4,"ATL",4,3,5,33,8,0,0,2,3,0,0,0,2,0,11,1,0,2,5,35,9,3,0,1,4,1,0,0,3,1,7,2,0,0,10
"56","56 2015",2015-04-10,"SLN",3,"CIN",4,4,5,36,10,2,0,1,4,0,0,0,3,1,12,0,0,0,8,26,4,0,0,2,5,0,1,0,4,1,3,2,0,1,2
"57","57 2015",2015-04-10,"CHN",3,"COL",4,1,5,30,5,0,0,0,1,0,1,2,4,0,7,1,0,1,9,34,11,2,0,1,5,0,0,0,3,1,7,0,0,0,8
"58","58 2015",2015-04-10,"TBA",4,"MIA",4,9,10,38,10,2,0,1,9,0,0,0,6,0,8,1,0,1,5,40,13,4,0,0,9,0,0,1,6,0,8,3,0,1,9
"59","59 2015",2015-04-10,"PIT",4,"MIL",4,6,2,33,10,4,0,2,6,2,2,2,2,1,12,1,0,0,8,35,9,4,1,0,2,0,0,1,2,0,6,0,1,0,9
"60","60 2015",2015-04-10,"WAS",4,"PHI",4,1,4,32,6,1,0,1,1,0,0,0,1,0,9,0,0,0,5,27,7,2,0,0,4,0,1,2,4,0,5,0,1,1,6
"61","61 2015",2015-04-10,"SFN",5,"SDN",5,0,1,27,5,0,0,0,0,0,0,0,3,0,7,0,0,3,3,26,5,1,0,0,1,0,0,0,4,2,6,2,0,2,5
"62","62 2015",2015-04-11,"KCA",5,"ANA",5,6,4,36,12,1,0,2,6,0,0,2,4,0,8,1,2,1,9,32,6,1,0,1,4,0,0,0,1,0,3,0,1,0,2
"63","63 2015",2015-04-11,"TOR",5,"BAL",5,1,7,30,3,1,0,0,1,0,0,1,1,0,10,1,0,0,4,32,9,0,0,3,6,0,0,1,6,2,8,0,0,2,8
"64","64 2015",2015-04-11,"MIN",5,"CHA",5,4,5,35,8,2,1,0,4,0,0,0,1,0,10,2,1,0,5,33,10,2,0,2,5,0,0,1,1,0,5,0,0,1,6
"65","65 2015",2015-04-11,"DET",5,"CLE",5,9,6,39,14,1,0,1,8,0,0,0,6,1,11,2,1,1,9,34,8,2,0,0,6,0,1,0,5,0,8,0,0,1,7
"66","66 2015",2015-04-11,"BOS",5,"NYA",5,8,4,37,9,3,0,0,8,0,0,0,5,0,3,2,0,2,7,31,5,1,0,1,4,0,1,0,2,0,11,0,0,0,3
"67","67 2015",2015-04-11,"SEA",5,"OAK",6,5,4,42,10,1,0,2,5,1,0,0,3,0,7,1,0,1,8,42,12,3,0,0,4,2,0,0,3,2,6,0,0,0,10
"68","68 2015",2015-04-11,"HOU",5,"TEX",6,2,6,38,11,2,0,1,2,0,0,0,4,0,9,0,0,0,13,33,9,4,1,0,4,1,0,1,4,1,4,1,0,0,9
"69","69 2015",2015-04-11,"LAN",5,"ARI",5,0,6,28,2,1,0,0,0,0,0,0,4,0,9,0,0,1,5,32,10,0,0,1,6,0,0,0,3,0,7,0,2,1,5
"70","70 2015",2015-04-11,"NYN",5,"ATL",5,3,5,28,3,1,0,0,2,1,0,1,4,0,5,0,0,1,4,31,9,3,1,1,5,1,0,0,0,0,4,0,0,1,3
"71","71 2015",2015-04-11,"SLN",4,"CIN",5,4,1,33,8,0,0,1,4,0,1,1,1,0,5,1,0,2,5,32,6,1,0,1,1,1,0,0,1,0,6,1,0,0,6
"72","72 2015",2015-04-11,"CHN",4,"COL",5,9,5,36,12,1,2,3,9,0,1,2,5,0,8,0,1,1,8,38,12,3,0,1,5,0,0,0,2,0,10,0,0,2,8
"73","73 2015",2015-04-11,"TBA",5,"MIA",5,2,0,32,6,2,1,1,2,0,0,0,3,0,5,1,0,1,6,28,2,1,0,0,0,0,0,0,2,0,8,0,1,0,3
"74","74 2015",2015-04-11,"PIT",5,"MIL",5,0,6,26,2,0,0,0,0,0,0,1,2,0,11,0,1,2,2,30,7,5,0,1,6,1,0,0,2,0,6,0,0,0,3
"75","75 2015",2015-04-11,"WAS",5,"PHI",5,2,3,36,7,1,0,1,2,0,0,0,4,1,9,1,0,0,8,41,13,5,0,0,3,0,0,0,2,1,5,0,0,0,12
"76","76 2015",2015-04-11,"SFN",6,"SDN",6,2,10,33,5,1,0,1,2,0,0,1,2,0,9,0,0,1,7,42,20,4,0,0,10,0,1,0,1,0,8,0,1,1,10
"77","77 2015",2015-04-12,"KCA",6,"ANA",6,9,2,41,14,3,2,1,9,0,1,1,1,1,9,0,0,1,8,30,5,1,0,1,1,0,0,0,3,0,9,0,1,1,4
"78","78 2015",2015-04-12,"TOR",6,"BAL",6,10,7,36,10,3,0,3,10,0,1,0,6,0,5,1,0,0,6,35,8,0,0,2,7,0,0,2,2,0,9,1,0,1,5
"79","79 2015",2015-04-12,"MIN",6,"CHA",6,2,6,34,7,2,0,0,2,0,0,0,2,0,10,0,0,1,7,37,12,1,0,2,6,0,0,0,0,0,7,1,0,0,7
"80","80 2015",2015-04-12,"DET",6,"CLE",6,8,5,36,11,2,0,3,7,0,0,1,7,2,7,3,0,1,9,36,9,2,0,0,5,0,1,1,3,0,6,1,0,0,9
"81","81 2015",2015-04-12,"BOS",6,"NYA",6,4,14,35,8,1,0,1,4,0,1,0,3,0,6,0,0,1,8,36,16,1,0,3,14,0,2,0,6,0,5,1,1,1,6
"82","82 2015",2015-04-12,"SEA",6,"OAK",7,8,7,37,7,1,0,2,6,0,1,0,3,0,6,0,0,1,3,41,14,4,1,0,5,0,0,0,4,0,5,0,0,2,8
"83","83 2015",2015-04-12,"HOU",6,"TEX",7,6,4,50,11,1,1,3,6,0,0,0,3,1,9,3,0,3,5,49,9,1,0,0,4,0,1,4,7,0,9,0,0,1,15
"84","84 2015",2015-04-12,"LAN",6,"ARI",6,7,4,40,16,3,1,3,7,1,1,1,4,2,4,1,1,1,13,36,10,3,0,0,4,1,0,0,1,0,11,0,1,1,7
"85","85 2015",2015-04-12,"NYN",6,"ATL",6,4,3,32,9,1,0,1,4,1,1,0,6,1,8,1,0,2,9,34,7,1,1,1,3,0,0,0,0,0,8,1,0,0,4
"86","86 2015",2015-04-12,"SLN",5,"CIN",6,7,5,39,10,3,0,2,7,2,0,1,6,0,8,0,0,1,8,43,11,1,0,2,5,1,0,1,8,0,17,0,0,0,15
"87","87 2015",2015-04-12,"CHN",5,"COL",6,6,5,33,7,2,0,1,6,0,1,0,4,0,8,3,0,1,5,37,11,4,1,0,5,0,0,0,1,0,8,1,0,0,6
"88","88 2015",2015-04-12,"TBA",6,"MIA",6,8,5,39,14,6,1,1,8,1,0,0,3,0,7,0,0,0,8,35,8,2,1,1,5,0,1,0,2,0,7,0,0,0,6
"89","89 2015",2015-04-12,"PIT",6,"MIL",6,10,2,39,13,1,0,2,10,1,0,1,0,0,9,0,1,0,4,31,5,2,0,1,2,0,0,0,4,0,9,0,1,0,6
"90","90 2015",2015-04-12,"WAS",6,"PHI",6,4,3,37,9,2,0,1,3,0,1,1,4,0,8,0,1,0,9,39,9,0,0,1,3,0,0,0,4,0,12,2,0,0,10
"91","91 2015",2015-04-12,"SFN",7,"SDN",7,4,6,33,7,1,1,1,4,0,0,0,4,0,12,0,0,0,6,32,9,1,2,2,6,0,0,0,4,0,6,1,0,1,6
"92","92 2015",2015-04-13,"NYA",7,"BAL",7,6,5,32,7,0,0,3,6,1,0,1,2,0,7,0,0,1,3,35,11,3,0,1,5,0,0,1,2,0,13,1,2,0,6
"93","93 2015",2015-04-13,"WAS",7,"BOS",7,4,9,32,4,0,1,2,4,0,0,0,2,0,9,0,0,1,3,34,13,0,0,2,9,0,1,2,5,0,2,2,0,3,9
"94","94 2015",2015-04-13,"OAK",8,"HOU",7,8,1,37,12,2,0,3,8,0,0,0,2,0,4,0,0,3,4,31,5,1,0,1,1,0,0,0,4,0,11,0,0,1,7
"95","95 2015",2015-04-13,"KCA",7,"MIN",7,12,3,38,13,3,0,1,10,0,2,2,4,1,5,0,0,1,7,31,7,2,0,1,3,0,1,0,1,0,7,0,0,2,3
"96","96 2015",2015-04-13,"ANA",7,"TEX",8,6,3,38,12,1,0,2,6,0,0,0,5,0,5,1,0,0,10,33,7,2,0,0,3,0,1,0,1,0,11,1,0,0,5
"97","97 2015",2015-04-13,"TBA",7,"TOR",7,2,1,30,3,0,0,0,2,0,0,1,6,0,8,2,0,0,8,28,2,1,0,0,1,0,0,0,4,0,4,0,1,0,4
"98","98 2015",2015-04-13,"MIA",7,"ATL",7,2,3,31,6,2,0,0,2,1,0,0,4,0,8,1,0,1,7,28,7,3,0,0,2,0,0,0,7,0,8,1,2,1,8
"99","99 2015",2015-04-13,"CIN",7,"CHN",6,6,7,42,13,4,1,0,6,0,0,0,0,0,7,1,0,0,6,36,10,1,0,3,7,1,0,0,5,1,4,0,0,0,7
"100","100 2015",2015-04-13,"SEA",7,"LAN",7,5,6,35,6,0,0,4,5,0,0,0,1,0,15,0,0,0,1,37,9,3,0,1,6,0,1,0,4,1,7,0,0,0,7
"101","101 2015",2015-04-13,"PHI",7,"NYN",7,0,2,31,7,0,0,0,0,1,0,0,2,0,5,0,0,2,7,30,6,1,1,0,2,0,1,0,4,1,3,1,0,0,9
